province,pruid,hr,hruid,mean_index,sum_index,weighted_index,mean_mr,sum_mr,weighted_mr,num_csds,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,total_commuters,F0,F3,F4,F0_prop,F3_prop,F4_prop,F_wo_C,F_with_C,population_density,wave_1_attack_rate,wave_2_attack_rate,wave_3_attack_rate,all_waves_attack_rate
Quebec,24,Montreal,2406,0.06088125,0.9741,0.032200326614639,1,16,1,16,499.7052,1942039,939052,870369,485270,241425,109080,93215,41550,178110,207480,82310,85980,39205,99705,63315,26785,9600,488710,575010,133945,70060,3820,782835,666820,172410,134785,8.52462193619179,3.05275945277983,3.42261861102837,666820,307195,3886.36940340024,0.0142412176068555,0.0374369412766685,0.0168297341093562,0.0685078929928802
Ontario,35,Niagara,3546,0.0922666666666667,1.1072,0.0893527814989462,1.16666666666667,14,1.06474832993963,12,1883.829,447888,196241,183828,129480,70465,26730,22675,9585,56275,50260,20350,20900,9010,22920,14195,6365,2340,74775,80160,64320,26380,490,171350,131050,40910,32250,7.5461616658421,2.31857504864861,2.13526328550928,131050,73160,237.754063665014,0.00172811059907834,0.0168859179080484,0.0177544386096524,0.0363684671167792
Quebec,24,Nord-du-Quebec,2410,0.53334,2.6667,0.501065872681282,4.4,22,4.63258853288364,5,340557.05223,14232,7057,6039,4180,2375,820,660,325,2055,1595,660,605,315,530,320,150,60,2130,5000,915,400,40,6355,4185,1130,980,3.41037497277593,0.830690921688187,0.758934105535879,4185,2110,0.0417903546756924,0.000632377740303541,0.00562113546936481,0.00154581225407532,0.00779932546374368
Alberta,48,North,4835,0.39319375,62.911,0.331173507058722,3.98979591836735,391,3.24354321843063,161,414377.23833,461646,197556,167760,125995,61655,25600,23675,15100,51060,56410,20420,21850,14085,18515,10585,5130,2790,73500,108200,47180,12740,1160,169280,124560,36135,38725,88.7792689882641,28.7056191708497,27.5151118408863,124560,74860,1.11407181017109,0.000870797104274704,0.0226753833023572,0.0340195734393886,0.0575657538460205
Ontario,35,North Bay Parry Sound,3547,0.285392682926829,11.7011,0.283108229688257,3.59459459459459,133,2.89042965595219,41,19006.66194,123815,74391,53718,37130,22695,6990,5345,2070,19005,12355,5410,4965,1945,5760,3720,1570,505,22210,25490,9830,6960,500,42780,41215,10700,7415,27.8991297570883,7.05692024624743,5.0439499966643,41215,18115,6.51429485045074,0.000282679804547107,0.00155877720793119,0.00314986067923919,0.00499131769171748
Saskatchewan,47,North Central,4,0.339326086956522,23.4135,0.322018446997865,3.54901960784314,181,2.78871110897882,69,344740.5434,83301,39409,30706,22820,11860,4415,3680,2870,9265,8645,3145,3050,2385,4885,2570,1290,1055,12850,15075,7560,3530,330,26495,22115,7005,6490,38.0610094007865,10.8462224608312,11.0927681383822,22115,13495,0.241633894227945,0,0.0326766785512779,0.015714097069663,0.0483907756209409
Saskatchewan,47,North East,5,0.431562962962963,23.3044,0.414279069767442,4.66666666666667,126,3.56731012818564,54,35815.90343,39459,19134,16039,11210,6320,1830,1710,1290,5500,4220,1420,1565,1190,1540,835,420,240,6245,6215,4835,1280,160,12490,11745,2675,2995,35.0983099435789,8.34485159757878,8.55683845884227,11745,5670,1.10171728816279,0,0.0255961884487696,0.012950150789427,0.0385463392381966
British Columbia,59,North Shore/Coast Garibaldi,5933,0.387963333333333,23.2778,0.167401055522126,2.87804878048781,118,1.67354944664045,61,71232.97384,300600,143149,122679,85215,44200,18590,17420,4950,36335,36560,15080,16715,4780,12310,7870,3565,900,54165,38720,64190,4465,735,108110,90500,26515,22395,30.5577025904161,9.29174206361176,6.15055534597216,90500,48910,4.21995578445444,0.000878243512974052,0.0118962075848303,0.0153493013972056,0.02812375249501
British Columbia,59,North Vancouver Island,5943,0.49526862745098,25.2587,0.320489341667144,3.44444444444444,93,2.40158549655167,51,41115.26805,122134,59658,53989,36490,23035,6465,5030,1985,19560,11500,4980,4655,1865,5445,3455,1470,520,23680,21045,13925,3995,810,39775,43240,9905,7040,25.1526443588774,7.12235659352535,4.72499904759723,43240,16945,2.97052666302634,0.00049126369397547,0.00191592840650433,0.00337334403196489,0.00578053613244469
Saskatchewan,47,North West,6,0.366482653061225,35.9153,0.332269898917256,3.74603174603175,236,2.87895374698683,98,31800.53535,74788,35198,28252,20700,10610,3940,3565,2615,8565,8200,2855,3090,2260,3990,2050,1080,790,11670,9775,5220,3845,4890,23730,20235,5985,6140,55.6296069617396,13.5298628195202,14.8405302187401,20235,12125,2.35178430730412,0,0.0337621008717976,0.0240279189174734,0.057790019789271
