district,town,population,commuting_population,commute_1,commute_2,commute_3,commute_4
South Central,Hodgeville,172.00,35.00,10.00,15.00,15.00,0.00
South Central,Keeler,15.00,,,,,
South Central,Kincaid,111.00,40.00,20.00,15.00,0.00,0.00
South Central,Lafleche,382.00,125.00,65.00,40.00,20.00,0.00
South Central,Limerick,115.00,40.00,10.00,20.00,10.00,0.00
South Central,Mankota,497.00,70.00,55.00,10.00,0.00,0.00
South Central,Marquis,394.00,135.00,10.00,115.00,10.00,0.00
South Central,Moose Jaw,"35,503.00","14,060.00","11,125.00","1,085.00","1,730.00",120.00
South Central,Morse,290.00,100.00,0.00,100.00,0.00,0.00
South Central,Mortlach,261.00,75.00,20.00,50.00,0.00,0.00
South Central,Mossbank,360.00,115.00,75.00,25.00,10.00,0.00
South Central,Neville,87.00,20.00,0.00,0.00,15.00,0.00
South Central,Ponteix,563.00,170.00,120.00,15.00,30.00,10.00
South Central,Rockglen,441.00,65.00,55.00,0.00,10.00,0.00
South Central,Rouleau,540.00,205.00,70.00,125.00,15.00,0.00
South Central,Rush Lake,53.00,15.00,10.00,10.00,0.00,0.00
South Central,Shamrock,225.00,45.00,0.00,30.00,10.00,0.00
South Central,South Lake,169.00,75.00,0.00,50.00,25.00,0.00
South Central,Sun Valley,118.00,55.00,0.00,50.00,10.00,0.00
South Central,Tuxford,113.00,50.00,10.00,30.00,20.00,0.00
South Central,Vanguard,134.00,40.00,30.00,0.00,10.00,0.00
South Central,Waldeck,277.00,120.00,0.00,0.00,115.00,0.00
South Central,Willow Bunch,578.00,155.00,50.00,100.00,0.00,0.00
South Central,Wood Mountain,40.00,,,,,
South East ,Abernethy,566.00,200.00,15.00,140.00,40.00,0.00
South East ,Alameda,369.00,115.00,60.00,55.00,0.00,0.00
South East ,Alida,120.00,40.00,35.00,10.00,0.00,0.00
South East ,Arcola,657.00,285.00,190.00,91.00,10.00,0.00
South East ,B-Say-Tah,156.00,40.00,0.00,35.00,0.00,0.00
South East ,Balcarres,587.00,220.00,130.00,80.00,0.00,0.00
South East ,Bengough,603.00,135.00,60.00,35.00,35.00,0.00
South East ,Bienfait,762.00,290.00,30.00,255.00,10.00,0.00
South East ,Broadview,552.00,170.00,145.00,30.00,0.00,0.00
South East ,Carievale,240.00,110.00,25.00,75.00,10.00,10.00
South East ,Carlyle,"1,508.00",590.00,485.00,80.00,20.00,0.00
South East ,Carnduff,"1,099.00",325.00,225.00,85.00,0.00,10.00
