Date,PHU ID,PHU name,Agegroup,At least one dose_cumulative,Second_dose_cumulative,fully_vaccinated_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated
2021-07-26,2261,SUDBURY AND DISTRICT,12-17yrs,7131,4211,,11889,0.5998,0.3542
2021-07-26,2262,THUNDER BAY DISTRICT,12-17yrs,5822,3560,,9043,0.6438,0.3937
2021-07-26,2263,TIMISKAMING,12-17yrs,1039,597,,1897,0.5477,0.3147
2021-07-26,3895,TORONTO,12-17yrs,107989,78989,,162546,0.6644,0.4859
2021-07-26,9999,UNKNOWN,12-17yrs,207,20,,0,,
2021-07-26,2265,WATERLOO REGION,12-17yrs,27066,16173,,40049,0.6758,0.4038
2021-07-26,2266,WELLINGTON-DUFFERIN-GUELPH,12-17yrs,13786,8284,,21168,0.6513,0.3913
2021-07-26,2268,WINDSOR-ESSEX COUNTY,12-17yrs,16685,11116,,29770,0.5605,0.3734
2021-07-26,2270,YORK REGION,12-17yrs,61429,41987,,89973,0.6827,0.4667
2021-07-26,2226,ALGOMA DISTRICT,18-29yrs,9811,6763,,15509,0.6326,0.4361
2021-07-26,2227,BRANT COUNTY,18-29yrs,15753,11325,,24059,0.6548,0.4707
2021-07-26,2240,CHATHAM-KENT,18-29yrs,8137,5775,,14984,0.543,0.3854
2021-07-26,2237,CITY OF HAMILTON,18-29yrs,64059,47055,,100237,0.6391,0.4694
2021-07-26,2251,CITY OF OTTAWA,18-29yrs,133702,98487,,186587,0.7166,0.5278
2021-07-26,2230,DURHAM REGION,18-29yrs,79765,59785,,114063,0.6993,0.5241
2021-07-26,2258,EASTERN ONTARIO,18-29yrs,16567,10591,,27830,0.5953,0.3806
2021-07-26,2233,GREY BRUCE,18-29yrs,13018,9833,,22126,0.5884,0.4444
2021-07-26,2234,HALDIMAND-NORFOLK,18-29yrs,8171,5819,,15900,0.5139,0.366
2021-07-26,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",18-29yrs,14374,9824,,22520,0.6383,0.4362
2021-07-26,2236,HALTON REGION,18-29yrs,66917,46763,,95648,0.6996,0.4889
2021-07-26,2238,HASTINGS & PRINCE EDWARD COUNTIES,18-29yrs,12858,8086,,22375,0.5747,0.3614
2021-07-26,5183,HURON PERTH,18-29yrs,12382,7975,,20393,0.6072,0.3911
2021-07-26,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",18-29yrs,23996,17802,,34068,0.7044,0.5225
