province,date,HR,cases
Northwest Territories,2021-03-05,Northwest Territories,0
Northwest Territories,2021-03-06,Northwest Territories,0
Northwest Territories,2021-03-07,Northwest Territories,0
Northwest Territories,2021-03-08,Northwest Territories,0
Northwest Territories,2021-03-09,Northwest Territories,0
Northwest Territories,2021-03-10,Northwest Territories,0
Northwest Territories,2021-03-11,Northwest Territories,0
Northwest Territories,2021-03-12,Northwest Territories,0
Northwest Territories,2021-03-13,Northwest Territories,0
Northwest Territories,2021-03-14,Northwest Territories,0
Northwest Territories,2021-03-15,Northwest Territories,0
Northwest Territories,2021-03-16,Northwest Territories,0
Northwest Territories,2021-03-17,Northwest Territories,0
Northwest Territories,2021-03-18,Northwest Territories,0
Northwest Territories,2021-03-19,Northwest Territories,0
Northwest Territories,2021-03-20,Northwest Territories,0
Northwest Territories,2021-03-21,Northwest Territories,0
Northwest Territories,2021-03-22,Northwest Territories,0
Northwest Territories,2021-03-23,Northwest Territories,0
Northwest Territories,2021-03-24,Northwest Territories,0
Northwest Territories,2021-03-25,Northwest Territories,0
Northwest Territories,2021-03-26,Northwest Territories,0
Northwest Territories,2021-03-27,Northwest Territories,0
Northwest Territories,2021-03-28,Northwest Territories,0
Northwest Territories,2021-03-29,Northwest Territories,0
Northwest Territories,2021-03-30,Northwest Territories,0
Northwest Territories,2021-03-31,Northwest Territories,0
Northwest Territories,2021-04-01,Northwest Territories,0
Northwest Territories,2021-04-02,Northwest Territories,0
Northwest Territories,2021-04-03,Northwest Territories,0
Northwest Territories,2021-04-04,Northwest Territories,0
Northwest Territories,2021-04-05,Northwest Territories,0
Northwest Territories,2021-04-06,Northwest Territories,2
Northwest Territories,2021-04-07,Northwest Territories,0
Northwest Territories,2021-04-08,Northwest Territories,0
Northwest Territories,2021-04-09,Northwest Territories,0
Northwest Territories,2021-04-10,Northwest Territories,0
Northwest Territories,2021-04-11,Northwest Territories,0
Northwest Territories,2021-04-12,Northwest Territories,0
Northwest Territories,2021-04-13,Northwest Territories,0
Northwest Territories,2021-04-14,Northwest Territories,0
Northwest Territories,2021-04-15,Northwest Territories,0
Northwest Territories,2021-04-16,Northwest Territories,0
Northwest Territories,2021-04-17,Northwest Territories,0
Northwest Territories,2021-04-18,Northwest Territories,0
Northwest Territories,2021-04-19,Northwest Territories,0
Northwest Territories,2021-04-20,Northwest Territories,0
Northwest Territories,2021-04-21,Northwest Territories,2
Northwest Territories,2021-04-22,Northwest Territories,0
Northwest Territories,2021-04-23,Northwest Territories,3
Northwest Territories,2021-04-24,Northwest Territories,0
Northwest Territories,2021-04-25,Northwest Territories,0
Northwest Territories,2021-04-26,Northwest Territories,3
Northwest Territories,2021-04-27,Northwest Territories,0
Northwest Territories,2021-04-28,Northwest Territories,0
Northwest Territories,2021-04-29,Northwest Territories,0
Northwest Territories,2021-04-30,Northwest Territories,0
Northwest Territories,2021-05-01,Northwest Territories,0
Northwest Territories,2021-05-02,Northwest Territories,0
Northwest Territories,2021-05-03,Northwest Territories,8
Northwest Territories,2021-05-04,Northwest Territories,12
Northwest Territories,2021-05-05,Northwest Territories,14
Northwest Territories,2021-05-06,Northwest Territories,13
Northwest Territories,2021-05-07,Northwest Territories,1
Northwest Territories,2021-05-08,Northwest Territories,0
Northwest Territories,2021-05-09,Northwest Territories,0
Northwest Territories,2021-05-10,Northwest Territories,3
Northwest Territories,2021-05-11,Northwest Territories,0
Northwest Territories,2021-05-12,Northwest Territories,12
Northwest Territories,2021-05-13,Northwest Territories,1
Northwest Territories,2021-05-14,Northwest Territories,0
Northwest Territories,2021-05-15,Northwest Territories,0
Northwest Territories,2021-05-16,Northwest Territories,0
Northwest Territories,2021-05-17,Northwest Territories,4
Northwest Territories,2021-05-18,Northwest Territories,0
Northwest Territories,2021-05-19,Northwest Territories,1
Northwest Territories,2021-05-20,Northwest Territories,0
Northwest Territories,2021-05-21,Northwest Territories,1
Northwest Territories,2021-05-22,Northwest Territories,0
Northwest Territories,2021-05-23,Northwest Territories,0
Northwest Territories,2021-05-24,Northwest Territories,0
Northwest Territories,2021-05-25,Northwest Territories,0
