Date,Agegroup,Percent_at_least_one_dose
2021-02-15,18-29yrs,0.012
2021-02-15,30-39yrs,0.019
2021-02-15,40-49yrs,0.022
2021-02-15,50-59yrs,0.024
2021-02-15,60-69yrs,0.02
2021-02-15,70-79yrs,0.019
2021-02-15,80+,0.117
2021-02-15,Ontario_12plus,0.0227
2021-02-16,12-17yrs,0
2021-02-16,18-29yrs,0.012
2021-02-16,30-39yrs,0.019
2021-02-16,40-49yrs,0.022
2021-02-16,50-59yrs,0.024
2021-02-16,60-69yrs,0.02
2021-02-16,70-79yrs,0.019
2021-02-16,80+,0.117
2021-02-16,Ontario_12plus,0.0227
2021-02-17,12-17yrs,0
2021-02-17,18-29yrs,0.012
2021-02-17,30-39yrs,0.019
2021-02-17,40-49yrs,0.022
2021-02-17,50-59yrs,0.024
2021-02-17,60-69yrs,0.02
2021-02-17,70-79yrs,0.019
2021-02-17,80+,0.117
2021-02-17,Ontario_12plus,0.0227
2021-02-18,12-17yrs,0
2021-02-18,18-29yrs,0.012
2021-02-18,30-39yrs,0.019
2021-02-18,40-49yrs,0.022
2021-02-18,50-59yrs,0.024
2021-02-18,60-69yrs,0.021
2021-02-18,70-79yrs,0.019
2021-02-18,80+,0.118
2021-02-18,Ontario_12plus,0.0229
2021-02-19,12-17yrs,0
2021-02-19,18-29yrs,0.012
2021-02-19,30-39yrs,0.019
2021-02-19,40-49yrs,0.022
2021-02-19,50-59yrs,0.024
2021-02-19,60-69yrs,0.021
2021-02-19,70-79yrs,0.02
2021-02-19,80+,0.119
2021-02-19,Ontario_12plus,0.0233
2021-02-20,12-17yrs,0
2021-02-20,18-29yrs,0.013
2021-02-20,30-39yrs,0.02
2021-02-20,40-49yrs,0.023
2021-02-20,50-59yrs,0.025
2021-02-20,60-69yrs,0.022
2021-02-20,70-79yrs,0.02
2021-02-20,80+,0.122
2021-02-20,Ontario_12plus,0.0241
2021-02-21,12-17yrs,0
2021-02-21,18-29yrs,0.013
2021-02-21,30-39yrs,0.021
2021-02-21,40-49yrs,0.024
2021-02-21,50-59yrs,0.026
2021-02-21,60-69yrs,0.023
2021-02-21,70-79yrs,0.021
2021-02-21,80+,0.124
2021-02-21,Ontario_12plus,0.0248
2021-02-22,12-17yrs,0
2021-02-22,18-29yrs,0.014
2021-02-22,30-39yrs,0.021
2021-02-22,40-49yrs,0.025
2021-02-22,50-59yrs,0.027
2021-02-22,60-69yrs,0.024
2021-02-22,70-79yrs,0.021
2021-02-22,80+,0.126
2021-02-22,Ontario_12plus,0.0255
2021-02-23,12-17yrs,0
2021-02-23,18-29yrs,0.014
2021-02-23,30-39yrs,0.022
2021-02-23,40-49yrs,0.025
2021-02-23,50-59yrs,0.028
2021-02-23,60-69yrs,0.025
2021-02-23,70-79yrs,0.022
2021-02-23,80+,0.129
2021-02-23,Ontario_12plus,0.0263
2021-02-24,12-17yrs,0
2021-02-24,18-29yrs,0.015
2021-02-24,30-39yrs,0.023
2021-02-24,40-49yrs,0.026
2021-02-24,50-59yrs,0.029
2021-02-24,60-69yrs,0.026
