province,date,HA,cases
Newfoundland and Labrador,0004-10-20,Central,0
Newfoundland and Labrador,0005-10-20,Central,0
Newfoundland and Labrador,0006-10-20,Central,0
Newfoundland and Labrador,0007-10-20,Central,0
Newfoundland and Labrador,0008-10-20,Central,0
Newfoundland and Labrador,0009-10-20,Central,0
Newfoundland and Labrador,0010-10-20,Central,0
Newfoundland and Labrador,0011-10-20,Central,0
Newfoundland and Labrador,0012-10-20,Central,1
Newfoundland and Labrador,0013-10-20,Central,0
Newfoundland and Labrador,0014-10-20,Central,0
Newfoundland and Labrador,0015-10-20,Central,0
Newfoundland and Labrador,0016-10-20,Central,2
Newfoundland and Labrador,0017-10-20,Central,0
Newfoundland and Labrador,0018-10-20,Central,0
Newfoundland and Labrador,0019-10-20,Central,0
Newfoundland and Labrador,0020-10-20,Central,0
Newfoundland and Labrador,0021-10-20,Central,0
Newfoundland and Labrador,0022-10-20,Central,1
Newfoundland and Labrador,0023-10-20,Central,0
Newfoundland and Labrador,0024-10-20,Central,0
Newfoundland and Labrador,0025-10-20,Central,0
Newfoundland and Labrador,0026-10-20,Central,0
Newfoundland and Labrador,0027-10-20,Central,0
Newfoundland and Labrador,0028-10-20,Central,0
Newfoundland and Labrador,0029-10-20,Central,0
Newfoundland and Labrador,0030-10-20,Central,0
Newfoundland and Labrador,0031-10-20,Central,0
Newfoundland and Labrador,0001-11-20,Central,0
Newfoundland and Labrador,0002-11-20,Central,0
Newfoundland and Labrador,0003-11-20,Central,0
Newfoundland and Labrador,0004-11-20,Central,1
Newfoundland and Labrador,0005-11-20,Central,2
Newfoundland and Labrador,0006-11-20,Central,0
Newfoundland and Labrador,0007-11-20,Central,0
Newfoundland and Labrador,0008-11-20,Central,0
Newfoundland and Labrador,0009-11-20,Central,0
Newfoundland and Labrador,0010-11-20,Central,0
Newfoundland and Labrador,0011-11-20,Central,2
Newfoundland and Labrador,0012-11-20,Central,0
Newfoundland and Labrador,0013-11-20,Central,0
Newfoundland and Labrador,0014-11-20,Central,0
Newfoundland and Labrador,0015-11-20,Central,1
Newfoundland and Labrador,0016-11-20,Central,0
Newfoundland and Labrador,0017-11-20,Central,0
Newfoundland and Labrador,0018-11-20,Central,0
Newfoundland and Labrador,0019-11-20,Central,0
Newfoundland and Labrador,0020-11-20,Central,0
Newfoundland and Labrador,0021-11-20,Central,0
Newfoundland and Labrador,0022-11-20,Central,0
Newfoundland and Labrador,0023-11-20,Central,0
Newfoundland and Labrador,0024-11-20,Central,0
Newfoundland and Labrador,0025-11-20,Central,0
Newfoundland and Labrador,0026-11-20,Central,1
Newfoundland and Labrador,0027-11-20,Central,0
Newfoundland and Labrador,0028-11-20,Central,0
Newfoundland and Labrador,0029-11-20,Central,0
Newfoundland and Labrador,0030-11-20,Central,0
Newfoundland and Labrador,0001-12-20,Central,0
Newfoundland and Labrador,0002-12-20,Central,0
Newfoundland and Labrador,0003-12-20,Central,0
Newfoundland and Labrador,0004-12-20,Central,0
Newfoundland and Labrador,0005-12-20,Central,1
Newfoundland and Labrador,0006-12-20,Central,2
Newfoundland and Labrador,0007-12-20,Central,0
Newfoundland and Labrador,0008-12-20,Central,0
Newfoundland and Labrador,0009-12-20,Central,0
Newfoundland and Labrador,0010-12-20,Central,1
Newfoundland and Labrador,0011-12-20,Central,0
Newfoundland and Labrador,0012-12-20,Central,0
Newfoundland and Labrador,0013-12-20,Central,0
Newfoundland and Labrador,0014-12-20,Central,0
Newfoundland and Labrador,0015-12-20,Central,0
Newfoundland and Labrador,0016-12-20,Central,1
Newfoundland and Labrador,0017-12-20,Central,0
Newfoundland and Labrador,0018-12-20,Central,3
Newfoundland and Labrador,0019-12-20,Central,0
Newfoundland and Labrador,0020-12-20,Central,1
Newfoundland and Labrador,0021-12-20,Central,0
Newfoundland and Labrador,0022-12-20,Central,1
Newfoundland and Labrador,0023-12-20,Central,0
Newfoundland and Labrador,0024-12-20,Central,0
Newfoundland and Labrador,0025-12-20,Central,0
Newfoundland and Labrador,0026-12-20,Central,0
Newfoundland and Labrador,0027-12-20,Central,0
Newfoundland and Labrador,0028-12-20,Central,0
Newfoundland and Labrador,0029-12-20,Central,0
Newfoundland and Labrador,0030-12-20,Central,0
Newfoundland and Labrador,0031-12-20,Central,0
Newfoundland and Labrador,0001-01-20,Central,0
Newfoundland and Labrador,0002-01-20,Central,0
Newfoundland and Labrador,0003-01-20,Central,0
Newfoundland and Labrador,0004-01-20,Central,0
Newfoundland and Labrador,0005-01-20,Central,0
Newfoundland and Labrador,0006-01-20,Central,0
Newfoundland and Labrador,0007-01-20,Central,0
Newfoundland and Labrador,0008-01-20,Central,0
Newfoundland and Labrador,0009-01-20,Central,0
Newfoundland and Labrador,0010-01-20,Central,0
Newfoundland and Labrador,0011-01-20,Central,0
Newfoundland and Labrador,0012-01-20,Central,0
Newfoundland and Labrador,0013-01-20,Central,0
Newfoundland and Labrador,0014-01-20,Central,0
Newfoundland and Labrador,0015-01-20,Central,0
Newfoundland and Labrador,0016-01-20,Central,0
Newfoundland and Labrador,0017-01-20,Central,0
Newfoundland and Labrador,0018-01-20,Central,0
Newfoundland and Labrador,0019-01-20,Central,0
Newfoundland and Labrador,0020-01-20,Central,0
Newfoundland and Labrador,0021-01-20,Central,1
Newfoundland and Labrador,0022-01-20,Central,0
Newfoundland and Labrador,0023-01-20,Central,0
Newfoundland and Labrador,0024-01-20,Central,0
Newfoundland and Labrador,0025-01-20,Central,0
Newfoundland and Labrador,0026-01-20,Central,0
Newfoundland and Labrador,0027-01-20,Central,0
Newfoundland and Labrador,0028-01-20,Central,0
Newfoundland and Labrador,0029-01-20,Central,2
Newfoundland and Labrador,0030-01-20,Central,0
Newfoundland and Labrador,0031-01-20,Central,0
Newfoundland and Labrador,0001-02-20,Central,0
Newfoundland and Labrador,0002-02-20,Central,0
Newfoundland and Labrador,0003-02-20,Central,0
Newfoundland and Labrador,0004-02-20,Central,0
Newfoundland and Labrador,0005-02-20,Central,0
Newfoundland and Labrador,0006-02-20,Central,0
Newfoundland and Labrador,0007-02-20,Central,0
Newfoundland and Labrador,0008-02-20,Central,0
Newfoundland and Labrador,0009-02-20,Central,0
Newfoundland and Labrador,0010-02-20,Central,0
Newfoundland and Labrador,0011-02-20,Central,0
Newfoundland and Labrador,0012-02-20,Central,4
Newfoundland and Labrador,0013-02-20,Central,0
Newfoundland and Labrador,0014-02-20,Central,0
Newfoundland and Labrador,0015-02-20,Central,0
Newfoundland and Labrador,0016-02-20,Central,0
Newfoundland and Labrador,0017-02-20,Central,2
Newfoundland and Labrador,0018-02-20,Central,0
Newfoundland and Labrador,0019-02-20,Central,0
Newfoundland and Labrador,0020-02-20,Central,0
Newfoundland and Labrador,0021-02-20,Central,0
Newfoundland and Labrador,0022-02-20,Central,0
Newfoundland and Labrador,0023-02-20,Central,0
Newfoundland and Labrador,0024-02-20,Central,0
Newfoundland and Labrador,0025-02-20,Central,0
Newfoundland and Labrador,0026-02-20,Central,1
Newfoundland and Labrador,0027-02-20,Central,0
Newfoundland and Labrador,0028-02-20,Central,0
Newfoundland and Labrador,0001-03-20,Central,0
Newfoundland and Labrador,0002-03-20,Central,0
Newfoundland and Labrador,0003-03-20,Central,0
