pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_fully,prop_atleast1dose,prop_partially,prop_fully,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully,numtotal_partiallyrange,numtotal_fullyrange,prop_partiallyrange,prop_fullyrange
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,75-79,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,80+,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,All ages,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,Not reported,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,Unknown,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,0-15,0,0,0,0.00,0.00,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,16-69,2727,2727,0,0.15,0.15,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,70-74,32,32,0,0.02,0.02,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,75-79,5,5,0,0.01,0.01,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,80+,0,0,0,0.00,0.00,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,All ages,2764,2764,0,0.11,0.11,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,Not reported,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,Unknown,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,0-15,0,0,0,0.00,0.00,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,16-69,850,850,0,0.05,0.05,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,70-74,14,14,0,0.01,0.01,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,75-79,5,5,0,0.01,0.01,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,80+,1,1,0,<0.01,<0.01,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,All ages,870,870,0,0.03,0.03,0.00,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,Not reported,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,Unknown,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,0-15,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,16-69,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,70-74,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,75-79,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,80+,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,All ages,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,Not reported,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,Unknown,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,0-15,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,16-69,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,70-74,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,75-79,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,80+,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,All ages,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,Not reported,0,0,0,na,na,na,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,Unknown,0,0,0,na,na,na,,,,,,,,
60,Yukon,Yukon,2020-12-19,f,0-15,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,f,16-69,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,f,70-74,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,f,75-79,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,f,80+,0,0,0,0.00,0.00,0.00,,,,,,,,
