date,HR,cases,province
2020-06-26,Calgary Zone,34,Alberta
2020-06-26,Edmonton Zone,14,Alberta
2020-06-26,North Zone,10,Alberta
2020-06-26,South Zone,8,Alberta
2020-06-27,Calgary Zone,11,Alberta
2020-06-27,Central Zone,1,Alberta
2020-06-27,Edmonton Zone,23,Alberta
2020-06-27,North Zone,2,Alberta
2020-06-28,Calgary Zone,31,Alberta
2020-06-28,Edmonton Zone,33,Alberta
2020-06-28,South Zone,4,Alberta
2020-06-29,Calgary Zone,22,Alberta
2020-06-29,Central Zone,1,Alberta
2020-06-29,Edmonton Zone,13,Alberta
2020-06-29,North Zone,4,Alberta
2020-06-29,South Zone,4,Alberta
2020-06-30,Calgary Zone,14,Alberta
2020-06-30,Edmonton Zone,14,Alberta
2020-06-30,North Zone,4,Alberta
2020-06-30,South Zone,1,Alberta
2020-07-01,Calgary Zone,17,Alberta
2020-07-01,Edmonton Zone,23,Alberta
2020-07-01,North Zone,1,Alberta
2020-07-01,South Zone,23,Alberta
2020-07-02,Calgary Zone,3,Alberta
2020-07-02,Edmonton Zone,20,Alberta
2020-07-02,North Zone,7,Alberta
2020-07-02,South Zone,25,Alberta
2020-07-03,Calgary Zone,14,Alberta
2020-07-03,Edmonton Zone,5,Alberta
2020-07-03,North Zone,4,Alberta
2020-07-03,South Zone,7,Alberta
2020-07-04,Calgary Zone,20,Alberta
2020-07-04,Central Zone,1,Alberta
2020-07-04,Edmonton Zone,17,Alberta
2020-07-04,North Zone,4,Alberta
2020-07-04,South Zone,6,Alberta
2020-07-05,Calgary Zone,17,Alberta
2020-07-05,Edmonton Zone,19,Alberta
2020-07-05,North Zone,10,Alberta
2020-07-05,South Zone,2,Alberta
2020-07-06,Calgary Zone,14,Alberta
2020-07-06,Central Zone,1,Alberta
2020-07-06,Edmonton Zone,27,Alberta
2020-07-06,North Zone,5,Alberta
2020-07-06,South Zone,2,Alberta
2020-07-07,Calgary Zone,15,Alberta
2020-07-07,Central Zone,3,Alberta
2020-07-07,Edmonton Zone,17,Alberta
2020-07-07,North Zone,4,Alberta
2020-07-07,South Zone,5,Alberta
2020-07-08,Calgary Zone,19,Alberta
2020-07-08,Central Zone,4,Alberta
2020-07-08,Edmonton Zone,8,Alberta
2020-07-08,North Zone,6,Alberta
2020-07-08,South Zone,6,Alberta
2020-07-09,Calgary Zone,34,Alberta
2020-07-09,Central Zone,3,Alberta
2020-07-09,Edmonton Zone,21,Alberta
2020-07-09,North Zone,4,Alberta
2020-07-09,South Zone,12,Alberta
2020-07-10,Calgary Zone,16,Alberta
2020-07-10,Central Zone,6,Alberta
2020-07-10,Edmonton Zone,19,Alberta
2020-07-10,North Zone,9,Alberta
2020-07-10,South Zone,12,Alberta
2020-07-11,Calgary Zone,44,Alberta
2020-07-11,Central Zone,8,Alberta
2020-07-11,Edmonton Zone,23,Alberta
2020-07-11,North Zone,6,Alberta
2020-07-11,South Zone,9,Alberta
2020-07-12,Calgary Zone,43,Alberta
2020-07-12,Central Zone,9,Alberta
2020-07-12,Edmonton Zone,12,Alberta
2020-07-12,North Zone,8,Alberta
2020-07-12,South Zone,6,Alberta
2020-07-13,Calgary Zone,38,Alberta
2020-07-13,Central Zone,14,Alberta
2020-07-13,Edmonton Zone,20,Alberta
2020-07-13,North Zone,9,Alberta
2020-07-13,South Zone,6,Alberta
2020-07-14,Calgary Zone,30,Alberta
2020-07-14,Central Zone,12,Alberta
2020-07-14,Edmonton Zone,15,Alberta
2020-07-14,North Zone,8,Alberta
2020-07-14,South Zone,20,Alberta
2020-07-15,Calgary Zone,59,Alberta
2020-07-15,Central Zone,16,Alberta
2020-07-15,Edmonton Zone,22,Alberta
2020-07-15,North Zone,4,Alberta
2020-07-15,South Zone,14,Alberta
2020-07-16,Calgary Zone,37,Alberta
2020-07-16,Central Zone,18,Alberta
2020-07-16,Edmonton Zone,25,Alberta
2020-07-16,North Zone,9,Alberta
2020-07-16,South Zone,14,Alberta
2020-07-17,Calgary Zone,102,Alberta
2020-07-17,Central Zone,23,Alberta
2020-07-17,Edmonton Zone,18,Alberta
2020-07-17,North Zone,15,Alberta
2020-07-17,South Zone,10,Alberta
2020-07-18,Calgary Zone,62,Alberta
2020-07-18,Central Zone,11,Alberta
2020-07-18,Edmonton Zone,17,Alberta
2020-07-18,North Zone,5,Alberta
2020-07-18,South Zone,7,Alberta
2020-07-19,Calgary Zone,52,Alberta
2020-07-19,Central Zone,6,Alberta
2020-07-19,Edmonton Zone,16,Alberta
2020-07-19,North Zone,6,Alberta
2020-07-19,South Zone,8,Alberta
2020-07-20,Calgary Zone,52,Alberta
2020-07-20,Central Zone,14,Alberta
2020-07-20,Edmonton Zone,27,Alberta
2020-07-20,North Zone,16,Alberta
2020-07-20,South Zone,22,Alberta
2020-07-21,Calgary Zone,79,Alberta
2020-07-21,Central Zone,16,Alberta
2020-07-21,Edmonton Zone,23,Alberta
2020-07-21,North Zone,6,Alberta
2020-07-21,South Zone,12,Alberta
2020-07-22,Calgary Zone,60,Alberta
2020-07-22,Central Zone,16,Alberta
2020-07-22,Edmonton Zone,11,Alberta
2020-07-22,North Zone,12,Alberta
2020-07-22,South Zone,14,Alberta
2020-07-23,Calgary Zone,56,Alberta
2020-07-23,Central Zone,17,Alberta
2020-07-23,Edmonton Zone,24,Alberta
2020-07-23,North Zone,4,Alberta
2020-07-23,South Zone,15,Alberta
2020-07-24,Calgary Zone,51,Alberta
2020-07-24,Central Zone,14,Alberta
2020-07-24,Edmonton Zone,27,Alberta
2020-07-24,North Zone,11,Alberta
2020-07-24,South Zone,14,Alberta
2020-07-25,Calgary Zone,50,Alberta
2020-07-25,Central Zone,7,Alberta
2020-07-25,Edmonton Zone,19,Alberta
2020-07-25,North Zone,10,Alberta
2020-07-25,South Zone,11,Alberta
2020-07-26,Calgary Zone,36,Alberta
2020-07-26,Central Zone,3,Alberta
2020-07-26,Edmonton Zone,34,Alberta
2020-07-26,North Zone,11,Alberta
2020-07-26,South Zone,5,Alberta
2020-07-27,Calgary Zone,31,Alberta
2020-07-27,Central Zone,10,Alberta
2020-07-27,Edmonton Zone,17,Alberta
2020-07-27,North Zone,6,Alberta
2020-07-27,South Zone,17,Alberta
2020-07-28,Calgary Zone,43,Alberta
2020-07-28,Central Zone,30,Alberta
2020-07-28,Edmonton Zone,28,Alberta
2020-07-28,North Zone,17,Alberta
2020-07-28,South Zone,13,Alberta
2020-07-29,Calgary Zone,23,Alberta
2020-07-29,Central Zone,41,Alberta
2020-07-29,Edmonton Zone,24,Alberta
2020-07-29,North Zone,16,Alberta
2020-07-29,South Zone,14,Alberta
2020-07-30,Calgary Zone,26,Alberta
2020-07-30,Central Zone,67,Alberta
2020-07-30,Edmonton Zone,17,Alberta
2020-07-30,North Zone,6,Alberta
2020-07-30,South Zone,8,Alberta
2020-07-31,Calgary Zone,44,Alberta
2020-07-31,Central Zone,8,Alberta
2020-07-31,Edmonton Zone,36,Alberta
2020-07-31,North Zone,5,Alberta
2020-07-31,South Zone,6,Alberta
2020-08-01,Calgary Zone,25,Alberta
2020-08-01,Central Zone,4,Alberta
2020-08-01,Edmonton Zone,21,Alberta
2020-08-01,North Zone,8,Alberta
2020-08-01,South Zone,9,Alberta
2020-08-02,Calgary Zone,21,Alberta
2020-08-02,Central Zone,2,Alberta
2020-08-02,Edmonton Zone,23,Alberta
2020-08-02,North Zone,21,Alberta
2020-08-02,South Zone,5,Alberta
2020-08-03,Calgary Zone,16,Alberta
2020-08-03,Central Zone,6,Alberta
2020-08-03,Edmonton Zone,26,Alberta
2020-08-03,North Zone,11,Alberta
2020-08-03,South Zone,5,Alberta
2020-08-04,Calgary Zone,30,Alberta
2020-08-04,Central Zone,1,Alberta
2020-08-04,Edmonton Zone,48,Alberta
2020-08-04,North Zone,12,Alberta
2020-08-04,South Zone,3,Alberta
2020-08-05,Calgary Zone,16,Alberta
2020-08-05,Central Zone,5,Alberta
2020-08-05,Edmonton Zone,36,Alberta
2020-08-05,North Zone,1,Alberta
2020-08-05,South Zone,3,Alberta
2020-08-06,Calgary Zone,32,Alberta
2020-08-06,Central Zone,41,Alberta
2020-08-06,Edmonton Zone,36,Alberta
2020-08-06,North Zone,13,Alberta
2020-08-06,South Zone,6,Alberta
2020-08-07,Calgary Zone,35,Alberta
2020-08-07,Central Zone,9,Alberta
2020-08-07,Edmonton Zone,51,Alberta
2020-08-07,North Zone,12,Alberta
2020-08-07,South Zone,4,Alberta
2020-08-08,Calgary Zone,36,Alberta
2020-08-08,Central Zone,2,Alberta
2020-08-08,Edmonton Zone,41,Alberta
2020-08-08,North Zone,13,Alberta
2020-08-08,South Zone,5,Alberta
2020-08-09,Calgary Zone,14,Alberta
2020-08-09,Central Zone,1,Alberta
2020-08-09,Edmonton Zone,25,Alberta
2020-08-09,North Zone,4,Alberta
2020-08-09,South Zone,1,Alberta
2020-08-10,Calgary Zone,11,Alberta
2020-08-10,Central Zone,3,Alberta
2020-08-10,Edmonton Zone,51,Alberta
2020-08-10,North Zone,13,Alberta
2020-08-10,South Zone,8,Alberta
2020-08-11,Calgary Zone,14,Alberta
2020-08-11,Edmonton Zone,89,Alberta
2020-08-11,North Zone,10,Alberta
2020-08-11,South Zone,3,Alberta
2020-08-12,Calgary Zone,31,Alberta
2020-08-12,Edmonton Zone,29,Alberta
2020-08-12,North Zone,9,Alberta
2020-08-12,South Zone,3,Alberta
2020-08-13,Calgary Zone,19,Alberta
2020-08-13,Central Zone,1,Alberta
2020-08-13,Edmonton Zone,52,Alberta
2020-08-13,North Zone,9,Alberta
2020-08-14,Calgary Zone,21,Alberta
2020-08-14,Central Zone,6,Alberta
2020-08-14,Edmonton Zone,64,Alberta
2020-08-14,North Zone,13,Alberta
2020-08-15,Calgary Zone,23,Alberta
2020-08-15,Central Zone,1,Alberta
2020-08-15,Edmonton Zone,54,Alberta
2020-08-15,North Zone,3,Alberta
2020-08-15,South Zone,2,Alberta
2020-08-16,Calgary Zone,20,Alberta
2020-08-16,Central Zone,6,Alberta
2020-08-16,Edmonton Zone,61,Alberta
2020-08-16,North Zone,5,Alberta
2020-08-16,South Zone,3,Alberta
2020-08-17,Calgary Zone,13,Alberta
2020-08-17,Central Zone,3,Alberta
2020-08-17,Edmonton Zone,55,Alberta
2020-08-17,North Zone,11,Alberta
2020-08-17,South Zone,3,Alberta
2020-08-18,Calgary Zone,20,Alberta
2020-08-18,Central Zone,2,Alberta
2020-08-18,Edmonton Zone,51,Alberta
2020-08-18,North Zone,8,Alberta
2020-08-19,Calgary Zone,34,Alberta
2020-08-19,Central Zone,2,Alberta
2020-08-19,Edmonton Zone,49,Alberta
2020-08-19,North Zone,13,Alberta
2020-08-19,South Zone,3,Alberta
2020-08-20,Calgary Zone,35,Alberta
2020-08-20,Central Zone,1,Alberta
2020-08-20,Edmonton Zone,89,Alberta
2020-08-20,North Zone,15,Alberta
2020-08-21,Calgary Zone,47,Alberta
2020-08-21,Central Zone,2,Alberta
2020-08-21,Edmonton Zone,25,Alberta
2020-08-21,North Zone,13,Alberta
2020-08-21,South Zone,1,Alberta
2020-08-22,Calgary Zone,41,Alberta
2020-08-22,Edmonton Zone,45,Alberta
2020-08-22,North Zone,17,Alberta
