cases,cumulative_cases,date_report,health_region,province
175,47578,2021-01-30,Calgary,Alberta
190,47768,2021-01-31,Calgary,Alberta
124,47892,2021-02-01,Calgary,Alberta
120,48012,2021-02-02,Calgary,Alberta
138,48150,2021-02-03,Calgary,Alberta
240,48390,2021-02-04,Calgary,Alberta
154,48544,2021-02-05,Calgary,Alberta
143,48687,2021-02-06,Calgary,Alberta
121,48808,2021-02-07,Calgary,Alberta
110,48918,2021-02-08,Calgary,Alberta
76,48994,2021-02-09,Calgary,Alberta
121,49115,2021-02-10,Calgary,Alberta
137,49252,2021-02-11,Calgary,Alberta
115,49367,2021-02-12,Calgary,Alberta
109,49476,2021-02-13,Calgary,Alberta
101,49577,2021-02-14,Calgary,Alberta
91,49668,2021-02-15,Calgary,Alberta
93,49761,2021-02-16,Calgary,Alberta
99,49860,2021-02-17,Calgary,Alberta
95,49955,2021-02-18,Calgary,Alberta
98,50053,2021-02-19,Calgary,Alberta
142,50195,2021-02-20,Calgary,Alberta
130,50325,2021-02-21,Calgary,Alberta
144,50469,2021-02-22,Calgary,Alberta
100,50569,2021-02-23,Calgary,Alberta
119,50688,2021-02-24,Calgary,Alberta
106,50794,2021-02-25,Calgary,Alberta
122,50916,2021-02-26,Calgary,Alberta
148,51064,2021-02-27,Calgary,Alberta
109,51173,2021-02-28,Calgary,Alberta
90,51263,2021-03-01,Calgary,Alberta
107,51370,2021-03-02,Calgary,Alberta
152,51522,2021-03-03,Calgary,Alberta
124,51646,2021-03-04,Calgary,Alberta
149,51795,2021-03-05,Calgary,Alberta
123,51918,2021-03-06,Calgary,Alberta
0,51918,2021-03-07,Calgary,Alberta
195,52113,2021-03-08,Calgary,Alberta
89,52202,2021-03-09,Calgary,Alberta
145,52347,2021-03-10,Calgary,Alberta
127,52474,2021-03-11,Calgary,Alberta
159,52633,2021-03-12,Calgary,Alberta
183,52816,2021-03-13,Calgary,Alberta
148,52964,2021-03-14,Calgary,Alberta
136,53100,2021-03-15,Calgary,Alberta
177,53277,2021-03-16,Calgary,Alberta
193,53470,2021-03-17,Calgary,Alberta
220,53690,2021-03-18,Calgary,Alberta
307,53997,2021-03-19,Calgary,Alberta
247,54244,2021-03-20,Calgary,Alberta
240,54484,2021-03-21,Calgary,Alberta
241,54725,2021-03-22,Calgary,Alberta
250,54975,2021-03-23,Calgary,Alberta
318,55293,2021-03-24,Calgary,Alberta
347,55640,2021-03-25,Calgary,Alberta
347,55987,2021-03-26,Calgary,Alberta
316,56303,2021-03-27,Calgary,Alberta
283,56586,2021-03-28,Calgary,Alberta
299,56885,2021-03-29,Calgary,Alberta
261,57146,2021-03-30,Calgary,Alberta
363,57509,2021-03-31,Calgary,Alberta
398,57907,2021-04-01,Calgary,Alberta
0,57907,2021-04-02,Calgary,Alberta
0,57907,2021-04-03,Calgary,Alberta
0,57907,2021-04-04,Calgary,Alberta
1949,59856,2021-04-05,Calgary,Alberta
457,60313,2021-04-06,Calgary,Alberta
618,60931,2021-04-07,Calgary,Alberta
639,61570,2021-04-08,Calgary,Alberta
691,62261,2021-04-09,Calgary,Alberta
588,62849,2021-04-10,Calgary,Alberta
528,63377,2021-04-11,Calgary,Alberta
508,63885,2021-04-12,Calgary,Alberta
510,64395,2021-04-13,Calgary,Alberta
586,64981,2021-04-14,Calgary,Alberta
662,65643,2021-04-15,Calgary,Alberta
621,66264,2021-04-16,Calgary,Alberta
650,66914,2021-04-17,Calgary,Alberta
707,67621,2021-04-18,Calgary,Alberta
591,68212,2021-04-19,Calgary,Alberta
647,68859,2021-04-20,Calgary,Alberta
0,68859,2021-04-21,Calgary,Alberta
1493,70352,2021-04-22,Calgary,Alberta
702,71054,2021-04-23,Calgary,Alberta
499,71553,2021-04-24,Calgary,Alberta
560,72113,2021-04-25,Calgary,Alberta
544,72657,2021-04-26,Calgary,Alberta
760,73417,2021-04-27,Calgary,Alberta
857,74274,2021-04-28,Calgary,Alberta
756,75030,2021-04-29,Calgary,Alberta
835,75865,2021-04-30,Calgary,Alberta
1045,76910,2021-05-01,Calgary,Alberta
767,77677,2021-05-02,Calgary,Alberta
995,78672,2021-05-03,Calgary,Alberta
621,79293,2021-05-04,Calgary,Alberta
1131,80424,2021-05-05,Calgary,Alberta
1117,81541,2021-05-06,Calgary,Alberta
852,82393,2021-05-07,Calgary,Alberta
955,83348,2021-05-08,Calgary,Alberta
872,84220,2021-05-09,Calgary,Alberta
803,85023,2021-05-10,Calgary,Alberta
691,85714,2021-05-11,Calgary,Alberta
855,86569,2021-05-12,Calgary,Alberta
729,87298,2021-05-13,Calgary,Alberta
702,88000,2021-05-14,Calgary,Alberta
469,88469,2021-05-15,Calgary,Alberta
518,88987,2021-05-16,Calgary,Alberta
289,89276,2021-05-17,Calgary,Alberta
340,89616,2021-05-18,Calgary,Alberta
329,89945,2021-05-19,Calgary,Alberta
358,90303,2021-05-20,Calgary,Alberta
305,90608,2021-05-21,Calgary,Alberta
264,90872,2021-05-22,Calgary,Alberta
223,91095,2021-05-23,Calgary,Alberta
180,91275,2021-05-24,Calgary,Alberta
188,91463,2021-05-25,Calgary,Alberta
154,91617,2021-05-26,Calgary,Alberta
207,91824,2021-05-27,Calgary,Alberta
206,92030,2021-05-28,Calgary,Alberta
171,92201,2021-05-29,Calgary,Alberta
158,92359,2021-05-30,Calgary,Alberta
96,92455,2021-05-31,Calgary,Alberta
62,92517,2021-06-01,Calgary,Alberta
195,92712,2021-06-02,Calgary,Alberta
114,92826,2021-06-03,Calgary,Alberta
86,92912,2021-06-04,Calgary,Alberta
137,93049,2021-06-05,Calgary,Alberta
98,93147,2021-06-06,Calgary,Alberta
57,93204,2021-06-07,Calgary,Alberta
64,93268,2021-06-08,Calgary,Alberta
131,93399,2021-06-09,Calgary,Alberta
57,93456,2021-06-10,Calgary,Alberta
57,93513,2021-06-11,Calgary,Alberta
100,93613,2021-06-12,Calgary,Alberta
75,93688,2021-06-13,Calgary,Alberta
39,93727,2021-06-14,Calgary,Alberta
61,93788,2021-06-15,Calgary,Alberta
83,93871,2021-06-16,Calgary,Alberta
78,93949,2021-06-17,Calgary,Alberta
77,94026,2021-06-18,Calgary,Alberta
69,94095,2021-06-19,Calgary,Alberta
59,94154,2021-06-20,Calgary,Alberta
24,94178,2021-06-21,Calgary,Alberta
21,94199,2021-06-22,Calgary,Alberta
46,94245,2021-06-23,Calgary,Alberta
42,94287,2021-06-24,Calgary,Alberta
0,94287,2021-06-25,Calgary,Alberta
0,94287,2021-06-26,Calgary,Alberta
