province,date,HR,cases
New Brunswick,2021-06-11,Not Reported,0
New Brunswick,2021-06-12,Not Reported,0
New Brunswick,2021-06-13,Not Reported,0
New Brunswick,2021-06-14,Not Reported,0
New Brunswick,2021-06-15,Not Reported,0
New Brunswick,2021-06-16,Not Reported,0
New Brunswick,2021-06-17,Not Reported,0
New Brunswick,2021-06-18,Not Reported,0
New Brunswick,2021-06-19,Not Reported,0
New Brunswick,2021-06-20,Not Reported,0
New Brunswick,2021-06-21,Not Reported,0
New Brunswick,2021-06-22,Not Reported,0
New Brunswick,2021-06-23,Not Reported,0
New Brunswick,2021-06-24,Not Reported,0
New Brunswick,2021-06-25,Not Reported,0
New Brunswick,2021-06-26,Not Reported,0
New Brunswick,2021-06-27,Not Reported,0
New Brunswick,2021-06-28,Not Reported,0
New Brunswick,2021-06-29,Not Reported,0
New Brunswick,2021-06-30,Not Reported,0
New Brunswick,2021-07-01,Not Reported,0
New Brunswick,2021-07-02,Not Reported,0
New Brunswick,2021-07-03,Not Reported,0
New Brunswick,2021-07-04,Not Reported,0
New Brunswick,2021-07-05,Not Reported,0
New Brunswick,2021-07-06,Not Reported,0
New Brunswick,2021-07-07,Not Reported,0
New Brunswick,2021-07-08,Not Reported,0
New Brunswick,2021-07-09,Not Reported,0
New Brunswick,2021-07-10,Not Reported,0
New Brunswick,2021-07-11,Not Reported,0
New Brunswick,2021-07-12,Not Reported,0
New Brunswick,2021-07-13,Not Reported,0
New Brunswick,2021-07-14,Not Reported,0
New Brunswick,2021-07-15,Not Reported,0
New Brunswick,2021-07-16,Not Reported,0
New Brunswick,2021-07-17,Not Reported,0
New Brunswick,2021-07-18,Not Reported,0
New Brunswick,2021-07-19,Not Reported,0
New Brunswick,2021-07-20,Not Reported,0
New Brunswick,2021-07-21,Not Reported,0
New Brunswick,2021-07-22,Not Reported,0
New Brunswick,2021-07-23,Not Reported,0
New Brunswick,2021-07-24,Not Reported,0
New Brunswick,2021-07-25,Not Reported,0
New Brunswick,2021-07-26,Not Reported,0
New Brunswick,2021-07-27,Not Reported,0
New Brunswick,2021-07-28,Not Reported,0
New Brunswick,2021-07-29,Not Reported,0
New Brunswick,2021-07-30,Not Reported,0
New Brunswick,2021-07-31,Not Reported,0
New Brunswick,2021-08-01,Not Reported,0
New Brunswick,2021-08-02,Not Reported,0
New Brunswick,2021-08-03,Not Reported,0
New Brunswick,2021-08-04,Not Reported,0
New Brunswick,2021-08-05,Not Reported,0
New Brunswick,2021-08-06,Not Reported,0
New Brunswick,2021-08-07,Not Reported,0
New Brunswick,2021-08-08,Not Reported,0
New Brunswick,2021-08-09,Not Reported,0
New Brunswick,2021-08-10,Not Reported,0
New Brunswick,2021-08-11,Not Reported,0
New Brunswick,2021-08-12,Not Reported,0
New Brunswick,2021-08-13,Not Reported,0
New Brunswick,2021-08-14,Not Reported,0
New Brunswick,2021-08-15,Not Reported,0
New Brunswick,2021-08-16,Not Reported,0
New Brunswick,2021-08-17,Not Reported,0
New Brunswick,2021-08-18,Not Reported,0
New Brunswick,2021-08-19,Not Reported,0
New Brunswick,2021-08-20,Not Reported,0
New Brunswick,2021-08-21,Not Reported,0
New Brunswick,2021-08-22,Not Reported,0
New Brunswick,2021-08-23,Not Reported,0
New Brunswick,2021-08-24,Not Reported,0
New Brunswick,2021-08-25,Not Reported,0
New Brunswick,2021-08-26,Not Reported,0
New Brunswick,2021-08-27,Not Reported,0
New Brunswick,2021-08-28,Not Reported,0
New Brunswick,2021-08-29,Not Reported,0
New Brunswick,2021-08-30,Not Reported,0
New Brunswick,2021-08-31,Not Reported,0
New Brunswick,2021-09-01,Not Reported,0
New Brunswick,2021-09-02,Not Reported,0
New Brunswick,2021-09-03,Not Reported,0
New Brunswick,2021-09-04,Not Reported,0
New Brunswick,2021-09-05,Not Reported,0
New Brunswick,2021-09-06,Not Reported,0
New Brunswick,2021-09-07,Not Reported,0
New Brunswick,2021-09-08,Not Reported,0
New Brunswick,2021-09-09,Not Reported,0
New Brunswick,2021-09-10,Not Reported,0
New Brunswick,2021-09-11,Not Reported,0
New Brunswick,2021-09-12,Not Reported,0
New Brunswick,2021-09-13,Not Reported,0
New Brunswick,2021-09-14,Not Reported,0
New Brunswick,2021-09-15,Not Reported,0
New Brunswick,2021-09-16,Not Reported,0
New Brunswick,2021-09-17,Not Reported,0
New Brunswick,2021-09-18,Not Reported,0
New Brunswick,2021-09-19,Not Reported,0
New Brunswick,2021-09-20,Not Reported,0
New Brunswick,2021-09-21,Not Reported,0
New Brunswick,2021-09-22,Not Reported,0
New Brunswick,2021-09-23,Not Reported,0
New Brunswick,2021-09-24,Not Reported,0
New Brunswick,2021-09-25,Not Reported,0
New Brunswick,2020-01-25,Zone 1 (Moncton area),0
New Brunswick,2020-01-26,Zone 1 (Moncton area),0
New Brunswick,2020-01-27,Zone 1 (Moncton area),0
New Brunswick,2020-01-28,Zone 1 (Moncton area),0
New Brunswick,2020-01-29,Zone 1 (Moncton area),0
New Brunswick,2020-01-30,Zone 1 (Moncton area),0
New Brunswick,2020-01-31,Zone 1 (Moncton area),0
