date,HR,cases,province,HRUID2018
2020-02-22,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-22,Northeast,0,British Columbia,5953
2020-02-22,Northern Interior,0,British Columbia,5952
2020-02-22,Northwest,0,British Columbia,5951
2020-02-22,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-22,Richmond,0,British Columbia,5931
2020-02-22,Vancouver,0,British Columbia,5932
2020-02-22,Central Vancouver Island,0,British Columbia,5942
2020-02-22,North Vancouver Island,0,British Columbia,5943
2020-02-22,South Vancouver Island,0,British Columbia,5941
2020-02-23,Fraser East,0,British Columbia,5921
2020-02-23,Fraser North,0,British Columbia,5922
2020-02-23,Fraser South,0,British Columbia,5923
2020-02-23,East Kootenay,0,British Columbia,5911
2020-02-23,Kootenay-Boundary,0,British Columbia,5912
2020-02-23,Okanagan,0,British Columbia,5913
2020-02-23,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-23,Northeast,0,British Columbia,5953
2020-02-23,Northern Interior,0,British Columbia,5952
2020-02-23,Northwest,0,British Columbia,5951
2020-02-23,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-23,Richmond,0,British Columbia,5931
2020-02-23,Vancouver,0,British Columbia,5932
2020-02-23,Central Vancouver Island,0,British Columbia,5942
2020-02-23,North Vancouver Island,0,British Columbia,5943
2020-02-23,South Vancouver Island,0,British Columbia,5941
2020-02-24,Fraser East,0,British Columbia,5921
2020-02-24,Fraser North,2,British Columbia,5922
2020-02-24,Fraser South,0,British Columbia,5923
2020-02-24,East Kootenay,0,British Columbia,5911
2020-02-24,Kootenay-Boundary,0,British Columbia,5912
2020-02-24,Okanagan,0,British Columbia,5913
2020-02-24,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-24,Northeast,0,British Columbia,5953
2020-02-24,Northern Interior,0,British Columbia,5952
2020-02-24,Northwest,0,British Columbia,5951
2020-02-24,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-24,Richmond,0,British Columbia,5931
2020-02-24,Vancouver,0,British Columbia,5932
2020-02-24,Central Vancouver Island,0,British Columbia,5942
2020-02-24,North Vancouver Island,0,British Columbia,5943
2020-02-24,South Vancouver Island,0,British Columbia,5941
2020-02-25,Fraser East,0,British Columbia,5921
2020-02-25,Fraser North,0,British Columbia,5922
2020-02-25,Fraser South,0,British Columbia,5923
2020-02-25,East Kootenay,0,British Columbia,5911
2020-02-25,Kootenay-Boundary,0,British Columbia,5912
2020-02-25,Okanagan,0,British Columbia,5913
2020-02-25,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-25,Northeast,0,British Columbia,5953
2020-02-25,Northern Interior,0,British Columbia,5952
2020-02-25,Northwest,0,British Columbia,5951
2020-02-25,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-25,Richmond,0,British Columbia,5931
2020-02-25,Vancouver,0,British Columbia,5932
2020-02-25,Central Vancouver Island,0,British Columbia,5942
2020-02-25,North Vancouver Island,0,British Columbia,5943
2020-02-25,South Vancouver Island,0,British Columbia,5941
2020-02-26,Fraser East,0,British Columbia,5921
2020-02-26,Fraser North,0,British Columbia,5922
2020-02-26,Fraser South,0,British Columbia,5923
2020-02-26,East Kootenay,0,British Columbia,5911
2020-02-26,Kootenay-Boundary,0,British Columbia,5912
2020-02-26,Okanagan,0,British Columbia,5913
2020-02-26,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-26,Northeast,0,British Columbia,5953
2020-02-26,Northern Interior,0,British Columbia,5952
2020-02-26,Northwest,0,British Columbia,5951
2020-02-26,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-26,Richmond,0,British Columbia,5931
2020-02-26,Vancouver,0,British Columbia,5932
2020-02-26,Central Vancouver Island,0,British Columbia,5942
2020-02-26,North Vancouver Island,0,British Columbia,5943
2020-02-26,South Vancouver Island,0,British Columbia,5941
2020-02-27,Fraser East,0,British Columbia,5921
2020-02-27,Fraser North,0,British Columbia,5922
2020-02-27,Fraser South,0,British Columbia,5923
2020-02-27,East Kootenay,0,British Columbia,5911
2020-02-27,Kootenay-Boundary,0,British Columbia,5912
2020-02-27,Okanagan,0,British Columbia,5913
2020-02-27,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-27,Northeast,0,British Columbia,5953
2020-02-27,Northern Interior,0,British Columbia,5952
2020-02-27,Northwest,0,British Columbia,5951
2020-02-27,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-27,Richmond,0,British Columbia,5931
2020-02-27,Vancouver,0,British Columbia,5932
2020-02-27,Central Vancouver Island,0,British Columbia,5942
2020-02-27,North Vancouver Island,0,British Columbia,5943
2020-02-27,South Vancouver Island,0,British Columbia,5941
2020-02-28,Fraser East,0,British Columbia,5921
2020-02-28,Fraser North,0,British Columbia,5922
2020-02-28,Fraser South,0,British Columbia,5923
2020-02-28,East Kootenay,0,British Columbia,5911
2020-02-28,Kootenay-Boundary,0,British Columbia,5912
2020-02-28,Okanagan,0,British Columbia,5913
2020-02-28,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-28,Northeast,0,British Columbia,5953
2020-02-28,Northern Interior,0,British Columbia,5952
2020-02-28,Northwest,0,British Columbia,5951
2020-02-28,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-28,Richmond,0,British Columbia,5931
2020-02-28,Vancouver,0,British Columbia,5932
2020-02-28,Central Vancouver Island,0,British Columbia,5942
2020-02-28,North Vancouver Island,0,British Columbia,5943
2020-02-28,South Vancouver Island,0,British Columbia,5941
2020-02-29,Fraser East,0,British Columbia,5921
2020-02-29,Fraser North,0,British Columbia,5922
2020-02-29,Fraser South,0,British Columbia,5923
2020-02-29,East Kootenay,0,British Columbia,5911
2020-02-29,Kootenay-Boundary,0,British Columbia,5912
2020-02-29,Okanagan,0,British Columbia,5913
2020-02-29,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-29,Northeast,0,British Columbia,5953
2020-02-29,Northern Interior,0,British Columbia,5952
2020-02-29,Northwest,0,British Columbia,5951
2020-02-29,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-29,Richmond,0,British Columbia,5931
2020-02-29,Vancouver,0,British Columbia,5932
2020-02-29,Central Vancouver Island,0,British Columbia,5942
2020-02-29,North Vancouver Island,0,British Columbia,5943
2020-02-29,South Vancouver Island,0,British Columbia,5941
2020-03-01,Fraser East,0,British Columbia,5921
2020-03-01,Fraser North,0,British Columbia,5922
2020-03-01,Fraser South,0,British Columbia,5923
2020-03-01,East Kootenay,0,British Columbia,5911
2020-03-01,Kootenay-Boundary,0,British Columbia,5912
2020-03-01,Okanagan,0,British Columbia,5913
2020-03-01,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-03-01,Northeast,0,British Columbia,5953
2020-03-01,Northern Interior,0,British Columbia,5952
2020-03-01,Northwest,0,British Columbia,5951
2020-03-01,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-03-01,Richmond,0,British Columbia,5931
