"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CD_UID","PR_UID","CMA_UID","rguid","v_CA16_492: Couples without children","v_CA16_493: Couples with children","v_CA16_494: 1 child","v_CA16_495: 2 children","v_CA16_496: 3 or more children","v_CA16_497: Total - Lone-parent census families in private households - 100% data","v_CA16_498: 1 child","v_CA16_499: 2 children","v_CA16_500: 3 or more children","v_CA16_501: Total - Persons not in census families in private households - 100% data"
"138","2474005","CSD","Mirabel (V)",486.17064,50513,20395,19631,"2474","24","24462","",5255,7030,2555,3260,1210,2465,1370,865,230,6375
"139","2475005","CSD","Saint-Colomban (V)",94.95482,16019,6200,5954,"2475","24","24462","",1790,2380,860,1085,430,550,325,170,55,1815
"140","2475017","CSD","Saint-Jérôme (V)",91.49605,74346,35316,33642,"2475","24","24462","",9175,6925,3050,2725,1145,4190,2685,1160,350,16390
"141","2476025","CSD","Gore (CT)",97.13293,1904,1542,904,"2476","24","24462","",380,185,80,75,25,40,30,5,5,375
"142","5915001","CSD","Langley (DM)",314.76313,117285,43720,41982,"5915","59","59933","",13585,16125,5810,7295,3025,4440,2645,1385,415,14745
"143","5915002","CSD","Langley (CY)",10.222,25888,12264,11840,"5915","59","59933","",2980,2600,1140,1000,460,1335,870,360,105,6205
"144","5915004","CSD","Surrey (CY)",324.14646,517887,181159,169964,"5915","59","59933","",48175,74715,26570,34065,14085,21600,12885,6315,2405,69550
"145","5915007","CSD","White Rock (CY)",5.12413,19952,10856,10005,"5915","59","59933","",3020,1535,705,635,200,790,585,170,35,5530
"146","5915011","CSD","Delta (DM)",195.47396,102238,37590,35758,"5915","59","59933","",11355,14645,5275,6975,2400,3895,2285,1240,370,12005
"147","5915015","CSD","Richmond (CY)",151.74256,198309,77478,73457,"5915","59","59933","",20035,28230,13265,11565,3400,9710,6380,2695,640,29140
"148","5915020","CSD","Greater Vancouver A (RDA)",869.11446,16133,8542,6103,"5915","59","59933","",1130,1845,890,785,165,760,475,250,35,3480
"149","5915022","CSD","Vancouver (CY)",116.34847,631486,309418,283916,"5915","59","59933","",71270,63945,28890,27250,7805,25645,17320,6585,1740,177510
"150","5915025","CSD","Burnaby (CY)",91.95612,232755,98030,92201,"5915","59","59933","",24040,29585,13560,12455,3575,10420,6900,2765,750,47480
"151","5915029","CSD","New Westminster (CY)",18.20297,70996,34235,32708,"5915","59","59933","",8680,7480,3555,3035,885,2910,2080,670,155,18270
"152","5915034","CSD","Coquitlam (CY)",129.69784,139284,54393,51325,"5915","59","59933","",13565,20340,8540,9285,2520,6170,3890,1800,480,19735
"153","5915036","CSD","Belcarra (VL)",5.46254,643,292,253,"5915","59","59933","",125,75,25,40,10,15,15,5,0,65
"154","5915038","CSD","Anmore (VL)",29.28807,2210,723,688,"5915","59","59933","",215,375,115,175,80,45,25,20,5,190
"155","5915039","CSD","Port Coquitlam (CY)",33.72219,58612,22586,21753,"5915","59","59933","",5800,8400,3480,3855,1065,2775,1705,835,235,7950
"156","5915043","CSD","Port Moody (CY)",26.3453,33551,13318,12976,"5915","59","59933","",3600,4855,1925,2305,625,1465,870,495,100,4335
"157","5915046","CSD","North Vancouver (DM)",163.39359,85935,32624,31116,"5915","59","59933","",8725,13035,4785,6510,1740,3230,1995,1000,240,10075
"158","5915051","CSD","North Vancouver (CY)",11.87779,52898,26426,24645,"5915","59","59933","",6065,5725,2725,2430,570,2570,1765,675,130,13115
"159","5915055","CSD","West Vancouver (DM)",88.75433,42473,18649,16933,"5915","59","59933","",5125,5530,2160,2535,835,1685,1015,520,145,6260
"160","5915062","CSD","Bowen Island (IM)",50.53494,3680,1915,1495,"5915","59","59933","",565,470,180,225,60,110,70,30,5,500
"161","5915065","CSD","Lions Bay (VL)",2.53457,1334,547,495,"5915","59","59933","",215,185,75,85,30,30,20,10,0,115
"162","5915070","CSD","Pitt Meadows (CY)",95.98686,18573,7356,7194,"5915","59","59933","",2215,2530,1040,1130,365,815,545,220,50,2515
"163","5915075","CSD","Maple Ridge (CY)",284.51005,82256,31400,30262,"5915","59","59933","",8725,11255,4365,5105,1785,3685,2260,1125,300,11405
"164","5915801","CSD","Semiahmoo (IRI)",1.37134,120,64,58,"5915","59","59933","",15,10,0,5,0,10,0,0,0,35
"165","5915802","CSD","Tsawwassen (IRI)",6.577,816,368,323,"5915","59","59933","",130,80,40,30,10,30,20,5,5,125
"166","5915803","CSD","Musqueam 2 (IRI)",3.19919,1652,615,578,"5915","59","59933","",155,190,70,80,45,120,75,25,25,270
"167","5915804","CSD","Coquitlam 2 (IRI)",0.82455,0,0,0,"5915","59","59933","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","5915805","CSD","Coquitlam 1 (IRI)",0.02195,54,25,22,"5915","59","59933","",0,10,0,5,0,0,0,0,0,10
"169","5915806","CSD","Burrard Inlet 3 (IRI)",1.05651,1855,932,920,"5915","59","59933","",275,175,100,60,20,105,75,25,0,445
"170","5915807","CSD","Mission 1 (IRI)",0.27764,576,178,160,"5915","59","59933","",25,75,35,30,10,55,35,15,10,100
"171","5915808","CSD","Capilano 5 (IRI)",1.79039,2931,1433,1309,"5915","59","59933","",290,290,145,115,30,210,135,60,15,760
"172","5915809","CSD","Barnston Island 3 (IRI)",0.58363,49,16,15,"5915","59","59933","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","5915810","CSD","Musqueam 4 (IRI)",0.53308,10,4,4,"5915","59","59933","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","5915811","CSD","Seymour Creek 2 (IRI)",0.49049,123,40,37,"5915","59","59933","",10,5,0,0,5,15,10,0,5,30
"175","5915813","CSD","Katzie 2 (IRI)",0.30729,40,15,15,"5915","59","59933","",5,0,0,0,0,5,0,5,0,5
"176","5915816","CSD","McMillan Island 6 (IRI)",1.78376,94,32,32,"5915","59","59933","",5,10,0,5,0,10,10,0,5,10
"177","5915825","CSD","Matsqui 4 (IRI)",0.28012,471,286,285,"5915","59","59933","",150,5,5,0,5,5,5,0,0,125
"178","5915830","CSD","Katzie 1 (IRI)",0.4239,262,83,67,"5915","59","59933","",15,30,5,15,5,25,15,5,5,30
"179","5915835","CSD","Langley 5 (IRI)",1.30383,0,0,0,"5915","59","59933","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","5915840","CSD","Whonnock 1 (IRI)",0.38846,0,1,0,"5915","59","59933","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
