Geo Code,Geo Name,Line Number
"5955014","Dawson Creek",1597619
"5955021","Peace River D",1599866
"5955023","Peace River E",1602113
"5955025","Hudson's Hope",1604360
"5955030","Taylor",1606607
"5955034","Fort St. John",1608854
"5955040","Peace River B",1611101
"5955042","Peace River C",1613348
"5955801","East Moberly Lake 169",1615595
"5955802","West Moberly Lake 168A",1617842
"5955803","Blueberry River 205",1620089
"5955804","Doig River 206",1622336
"5955807","Fort Ware 1",1624583
"5955808","Halfway River 168",1626830
"5955812","Ingenika Point",1629077
"5957022","Stikine Region",1631324
"5957802","Unnamed 10",1633571
"5957803","Five Mile Point 3",1635818
"5957804","Good Hope Lake",1638065
"5957813","Lower Post",1640312
"5957814","Liard River 3",1642559
"5959007","Northern Rockies",1644806
"5959805","Fontas 1",1647053
"5959806","Fort Nelson 2",1649300
"5959809","Kahntah 3",1651547
"5959810","Prophet River 4",1653794
